KEY,06-26-2018,09-13-2018,02-26-2019,06-25-2019,under_30,under_60,new_voter,four_x,four_x_under_30,four_x_under_60,skipped_patel,age_in_02-26-2019,age_in_06-25-2019,age_in_09-13-2018,age_in_06-26-2018
73029,83,98,54,24,3,55,3,11,0,4,31,59.813888888888876,61.06416666666667,60.74081632653061,59.724578313253005
73030,73,93,58,0,6,34,0,0,0,0,35,63.31241379310345,,64.48204301075269,68.0809589041096
73031,88,120,60,0,5,38,0,0,0,0,56,69.62850000000002,,69.22983333333333,66.53977272727269
73032,48,67,50,1,5,45,0,0,0,0,27,57.27580000000002,60.93,56.9420895522388,61.57916666666667
73033,93,126,58,24,6,41,0,9,0,0,46,63.72344827586206,75.90833333333333,69.81555555555555,66.92537634408599
73034,49,80,42,27,3,15,3,14,0,0,42,79.5240476190476,80.20888888888888,77.31287499999998,77.92816326530614
73035,117,181,83,43,5,29,1,18,0,4,71,70.65722891566267,71.02162790697676,71.52104972375692,69.02196581196581
73036,71,100,62,23,5,31,1,13,0,1,45,68.44790322580646,70.55347826086955,71.38600000000001,67.35084507042255
73037,82,108,68,33,5,37,2,14,0,3,44,65.41926470588234,70.54484848484849,67.12768518518517,68.29463414634144
73038,80,101,61,5,11,49,0,2,0,0,37,62.01524590163934,83.26400000000001,63.7230693069307,60.14437500000001
73039,81,106,70,29,5,49,0,9,0,3,50,61.624,66.27034482758621,61.56896226415092,61.08938271604937
73040,85,102,72,32,7,58,5,8,0,2,33,63.518888888888874,61.96031250000001,61.88911764705882,62.39941176470586
73041,87,99,58,15,5,40,0,9,0,0,26,64.6696551724138,68.68933333333332,65.13777777777779,63.35850574712641
73042,55,71,52,15,7,44,1,5,0,1,29,61.474230769230765,63.70133333333333,60.893239436619744,60.324909090909095
